year,fmri_count,dmri_count
1985,0,0
1986,0,0
1987,0,0
1988,1,0
1989,1,0
1990,3,1
1991,0,7
1992,6,7
1993,13,12
1994,45,18
1995,128,32
1996,191,27
1997,267,33
1998,400,56
1999,565,111
2000,711,181
2001,881,216
2002,976,354
2003,1263,534
2004,1533,658
2005,1968,896
2006,2265,1056
2007,2612,1373
2008,2721,1596
2009,3111,1928
2010,3601,2344
2011,4101,2827
2012,4659,3201
2013,5223,3714
2014,5422,3931
2015,5609,4137
2016,5476,4293
2017,5641,4262
2018,5617,4391
2019,5765,4484
2020,5985,4600
2021,6471,4775
2022,6104,4455
2023,5748,4040
2024,5728,4158
2025,6408,4715
2026,4053,2983
