PMID,PMCID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,NIHMS ID,Open Source?,DOI,Is this DTI?,"Which imaging modality was used? e.g electroencephalogram (EEG), Positron emission tomography (PET), Anatomical MRI, fMRI, diffusion MRI (dMRI) etc",Is this a single study or a review?,Human study or not?,"Does this study dementia, alzheimers, or related disease? 
",Which one?,What tracts were studied?,"How are results presented? T-tests, beta effect sizes, ANOVA, Chi test, regression etc","What analysis software libraries are being used e.g dipy.org, fsl, freesurfer, PRIDE ..?","What was the diffusion measure e.g Fractional Anisotropy (FA), Mean Diffusivity (MD), Axial diffusivity (AD), Radial diffusivity (RD)?","Were increases or decreases in WM integrity reported relative to the disease population? Eg: AD> HC= RD increase (Corpus Callosum, Cingulum) , AD<HC = FA decreases (cingulum). If Column T is NA enter NA here. (What it means, comparing Alzheimer's disease with Health Control, there was increase in Radial diffusivity in the Corpus Callosum and Cingulum white matter tracts, etc).",Group Difference Explored e.g AD (Alzheimer) vs HC (Health Control)?,"Brain Template/ Space e.g MNI, JHU","Do they present results using x,y,z coordinates?",Other notes
36931328,,Abnormal white matter changes in Alzheimer's disease based on diffusion tensor imaging: A systematic review,"Chen Y, Wang Y, Song Z, Fan Y, Gao T, Tang X.",Ageing Res Rev. 2023 Jun;87:101911. doi: 10.1016/j.arr.2023.101911. Epub 2023 Mar 15.,Chen Y,Ageing Res Rev,2023,3/17/23,,,10.1016/j.arr.2023.101911,yes,dMRI,Review,yes,yes,Alzheimers Disease,Na,t-test,"NA (systematic review; included studies used mixed software such as FSL, FreeSurfer, SPM, AFNI, but no single pipeline used by the review itself)","FA, MD, RD, AD","AD<HC = FA decreases (fornix, corpus callosum, cingulum, olfactory tracts); AD>HC = MD increases (corpus callosum, frontal/parietal WM, fornix); AD>HC = RD increases (corpus callosum, cingulum, temporal WM); AD>HC = AD increases (fornix, parahippocampal WM)",AD vs HC,N/A (varied; review paper),no,Table 1. Brief summary of typical neuroimaging markers based on DTI multilevel analysis.
34454529,PMC8403348,Attenuating vascular stenosis-induced astrogliosis preserves white matter integrity and cognitive function,"Liu Q, Bhuiyan MIH, Liu R, Song S, Begum G, Young CB, Foley LM, Chen F, Hitchens TK, Cao G, Chattopadhyay A, He L, Sun D.",J Neuroinflammation. 2021 Aug 28;18(1):187. doi: 10.1186/s12974-021-02234-8.,Liu Q,J Neuroinflammation,2021,8/29/21,,yes,10.1186/s12974-021-02234-8,yes,dMRI ; ex vivo MRI-DTI,Single study,no,NA,NA,Na,ANOVA,"FSL, custom MATLAB scripts",FA,"BCAS < Sham = FA decreases (corpus callosum, external capsule, hippocampus); BCAS+HOE642 > BCAS = FA increases (white matter tracts + hippocampus)",BCAS vs Sham; BCAS vs BCAS+HOE642,N/A (mouse DTI; native brain template/space),no,not human
39129270,PMC11497707,"Association of cortical morphology, white matter hyperintensity, and glymphatic function in frontotemporal dementia variants","Xiao D, Li J, Ren Z, Dai M, Jiang Y, Qiu T, Zhang H, Chen Y, Zhang Y, Zhang Y, Palaniyappan L; Frontotemporal Lobar Degeneration Neuroimaging Initiative.",Alzheimers Dement. 2024 Sep;20(9):6045-6059. doi: 10.1002/alz.14158. Epub 2024 Aug 11.,Xiao D,Alzheimers Dement,2024,8/12/24,,yes,10.1002/alz.14158,yes,"dMRI, structural MRI",Single study,yes,yes,Frontal Temporal Dementia,Na,ANCOVA,"FreeSurfer, FSL","FA, MD",FTD < HC = ALPS index decreases,bvFTD vs HC; nfvPPA vs HC; svPPA vs HC,MNI (FreeSurfer surface space for cortical metrics),yes,white matter hyperinensities
37174620,PMC10177535,Basal Ganglia Compensatory White Matter Changes on DTI in Alzheimer's Disease,"Wurst Z, Birčák Kuchtová B, Křemen J, Lahutsina A, Ibrahim I, Tintěra J, Bartoš A, Brabec M, Rai T, Zach P, Musil V, Olympiou N, Mrzílková J.",Cells. 2023 Apr 23;12(9):1220. doi: 10.3390/cells12091220.,Wurst Z,Cells,2023,5/13/23,,yes,10.3390/cells12091220,yes,dMRI,Single study,yes,yes,Alzheimers Disease,Na,AnoVA,"DSI studio, FSL","QA, GFA",AD<HC = QA/GFA decreases (right caudate); AD>HC = DTI parameter increases (left & right putamen; right pallidum),AD vs HC,MNI (QSDR),no,
38465597,PMC10962441,Relationship of Perivascular Space Markers With Incident Dementia in Cerebral Small Vessel Disease,"Hong H, Tozer DJ, Markus HS.",Stroke. 2024 Apr;55(4):1032-1040. doi: 10.1161/STROKEAHA.123.045857. Epub 2024 Mar 11.,Hong H,Stroke,2024,3/11/24,,yes,10.1161/STROKEAHA.123.045857,yes,"dMRI, structural MRI",Single study,yes,yes,Dementia,Na,beta effect,"FSL, FreeSurfer",MD,CSVD_Year3 < CSVD_Baseline = ALPS index decreases (global white matter; impaired perivascular function over time),CSVD baseline vs CSVD year-3 (no HC),"MNI, JHU",no,perivascular space
28552181,PMC5523458,White-matter integrity on DTI and the pathologic staging of Alzheimer's disease,"Kantarci K, Murray ME, Schwarz CG, Reid RI, Przybelski SA, Lesnick T, Zuk SM, Raman MR, Senjem ML, Gunter JL, Boeve BF, Knopman DS, Parisi JE, Petersen RC, Jack CR Jr, Dickson DW.",Neurobiol Aging. 2017 Aug;56:172-179. doi: 10.1016/j.neurobiolaging.2017.04.024. Epub 2017 May 4.,Kantarci K,Neurobiol Aging,2017,5/30/17,NIHMS880095,no,10.1016/j.neurobiolaging.2017.04.024,yes,"dMRI, structural MRI",Single study,yes,yes,Alzheimers Disease,"Cingulum, Fornix","t-test, chi square, correlation","FSL, SPM/ANTs, MATLAB","MD, FA","High Braak NFT > Low Braak = MD increases (crus of fornix, ventral cingulum, precuneus, entorhinal WM); High Braak < Low Braak = FA decreases (ventral cingulum, precuneus, entorhinal WM)",High Braak NFT stage (IV–VI) vs Low Braak NFT stage (0–III),MNI,no,
38365045,,Diffusion MRI marks progressive alterations in fiber integrity in the zQ175DN mouse model of Huntington's disease,"Vidas-Guscic N, van Rijswijk J, Van Audekerke J, Jeurissen B, Nnah I, Tang H, Muñoz-Sanjuan I, Pustina D, Cachope R, Van der Linden A, Bertoglio D, Verhoye M.",Neurobiol Dis. 2024 Apr;193:106438. doi: 10.1016/j.nbd.2024.106438. Epub 2024 Feb 15.,Vidas-Guscic N,Neurobiol Dis,2024,2/16/24,,,10.1016/j.nbd.2024.106438,yes,"dMRI, structural MRI (ex vivo)",Single study,no,,NA,Na,ANOVA,"MRtrix3, FSL, ANTs","FA, MD, FD, FC, FDC",HET<WT = FD/FC decreases (striatum at 3M; corpus callosum genu at 6M & 11M); HET<WT = FA decreases (corpus callosum genu at 6M & 11M). ; WT = Wild Type and HET = Huntington's model,"WT vs HET (zQ175DN) at 3M, 6M, 11M (progressive longitudinal comparison)",Population FOD template (mouse; MRtrix3/ANTs),no,Mouse model of HD
31012815,,"Obesity, Brain Volume, and White Matter Microstructure at MRI: A Cross-sectional UK Biobank Study","Dekkers IA, Jansen PR, Lamb HJ.",Radiology. 2019 Jun;291(3):763-771. doi: 10.1148/radiol.2019181012. Epub 2019 Apr 23.,Dekkers IA,Radiology,2019,4/24/19,,,10.1148/radiol.2019181012,yes,dMRI,Single study,yes,no,NA,Global,"beta effect, linear regression",FSL,"FA, MD",High TBF > Low TBF = FA increases (global white matter); High TBF < Low TBF = MD decreases (global white matter; significant in women).,High TBF vs Low TBF (continuous obesity associations; no HC group),MNI,no,obesity
18157658,,Diffusion tensor imaging (DTI)-based white matter mapping in brain research: a review,"Assaf Y, Pasternak O.",J Mol Neurosci. 2008;34(1):51-61. doi: 10.1007/s12031-007-0029-0.,Assaf Y,J Mol Neurosci,2008,12/25/07,,,10.1007/s12031-007-0029-0,yes,dMRI,Review,yes,no,NA,Na,N/A (review - no original statistical tests),"FSL, SPM (but no single pipeline used since its a review)","FA, MD, RD, AD",no primary group comparison; its a review,no primary group comparison; its a review so no single study,N/A (review so no single template was used),no,Methdology
24510641,PMC4312919,Profiles of white matter tract pathology in frontotemporal dementia,"Mahoney CJ, Ridgway GR, Malone IB, Downey LE, Beck J, Kinnunen KM, Schmitz N, Golden HL, Rohrer JD, Schott JM, Rossor MN, Ourselin S, Mead S, Fox NC, Warren JD.",Hum Brain Mapp. 2014 Aug;35(8):4163-79. doi: 10.1002/hbm.22468. Epub 2014 Feb 7.,Mahoney CJ,Hum Brain Mapp,2014,2/11/14,,yes,10.1002/hbm.22468,yes,"dMRI, structural MRI",Single study,yes,yes,bvFTD,"Uncinate Fasciculus, Cingulum Bundle, Corpus Callosum, Superior Longitudinal Fasciculus, Inferior Longitudinal Fasciculus, Fornix, Anterior Thalamic Radiation, Corticospinal Tract","t-test, ANCOVA, MAnoVA/multiple regression, Mann-Whitney U, Permutation","FSL, SPM, MATLAB","FA, MD, RD, AD","bvFTD<HC = FA decreases, RD increases (uncinate fasciculus, cingulum bundle, corpus callosum); bvFTD<AD = FA decreases (corpus callosum, anterior temporal WM)",bvFTD vs HC; bvFTD vs AD; MAPT vs C9ORF72 vs sporadic bvFTD,MNI,no,
