section,field,f1,ci_lower,ci_upper,error_lower,error_upper,p_value,p_value_raw,sig_level,sig_symbol
Abstract,DTI Methodology [Y/N],0.9622799664710813,0.9509285468467694,0.9726774417671735,0.011351419624311854,0.010397475296092251,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract,Subject Species [Human/Other],0.9854077253218884,0.9783174327840416,0.9923011120615911,0.007090292537846765,0.006893386739702745,0.018,0.010,FDR q < 0.05  (Statistically Significant),*
Abstract,Dementia-Related[Y/N],0.8249400479616307,0.7985436893203883,0.8544545952859491,0.026396358641242346,0.029514547324318463,0.200,0.114,FDR q ≥ 0.05  (Not Significant),
Abstract,Study Design [Review/Original],0.9708265802269044,0.9575055568786219,0.9822294022617124,0.013321023348282446,0.011402822034808024,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract,Neurological Disorders,0.6149208741522231,0.5787507070458258,0.652974402131754,0.03617016710639731,0.03805352797953088,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Abstract,White Matter Tracts,0.29473684210526313,0.2572246373093802,0.3309849218326454,0.03751220479588291,0.036248079727382254,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods,DTI Methodology [Y/N],0.951735817104149,0.9391470939158758,0.9633473971452561,0.012588723188273199,0.011611580041107072,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods,Subject Species [Human/Other],0.9595782073813708,0.9482890556529361,0.970599209833187,0.011289151728434699,0.011021002451816253,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods,Dementia-Related[Y/N],0.8029556650246306,0.7719734048497039,0.8327363000441135,0.030982260174926668,0.029780635019482915,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods,Study Design [Review/Original],0.9459684123025769,0.931323283082077,0.9602665426085053,0.014645129220499875,0.014298130305928414,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Methods,Neurological Disorders,0.5891931902294597,0.5520792959646755,0.6277902722515559,0.037113894264784175,0.03859708202209622,0.157,0.056,FDR q ≥ 0.05  (Not Significant),
Methods,White Matter Tracts,0.2871369294605809,0.2533254124454683,0.3208528677361315,0.03381151701511259,0.03371593827555058,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results,DTI Methodology [Y/N],0.9298701298701298,0.9132743362831859,0.9436884052072493,0.016595793586943963,0.013818275337119434,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results,Subject Species [Human/Other],0.9511978704525288,0.9377196446355961,0.9634178099593496,0.013478225816932698,0.012219939506820765,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results,Dementia-Related[Y/N],0.7754077791718946,0.7417579988550346,0.8080307819013243,0.033649780316860056,0.03262300272942964,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results,Study Design [Review/Original],0.9395973154362416,0.924114671163575,0.9542828613114517,0.015482644272666546,0.014685545875210093,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Results,Neurological Disorders,0.5789883268482491,0.5395538423910873,0.6184857878545833,0.0394344844571618,0.03949746100633422,0.604,0.388,FDR q ≥ 0.05  (Not Significant),
Results,White Matter Tracts,0.3927519818799547,0.3617532669973102,0.4258065070993861,0.030998714882644496,0.03305452521943142,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Discussion,DTI Methodology [Y/N],0.9234782608695652,0.906356280684199,0.938950988822012,0.017121980185366148,0.015472727952446808,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Discussion,Subject Species [Human/Other],0.9389587073608617,0.9236362002777097,0.9512843224092117,0.015322507083152082,0.012325615048349947,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
Discussion,Dementia-Related[Y/N],0.7970297029702971,0.7686327897590874,0.8286159575433982,0.02839691321120963,0.03158625457310116,<0.002,<0.002,FDR q < 0.001 (Very Highly Significant),***
